Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
118492,INF194K010C8,INF194K019B1,BANDHAN Conservative Hybrid Fund-Direct Plan-Quarterly IDCW,16.2843,Unknown AMC
150206,INF251K01HR8,-,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Growth Option,51.4995,Unknown AMC
150207,INF251K01HS6,INF251K01HT4,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Monthly IDCW Option,13.1061,Unknown AMC
150208,INF251K01HU2,INF251K01HV0,BARODA BNP PARIBAS Conservative Hybrid Fund - Direct Plan - Quarterly IDCW Option,12.7916,Unknown AMC
150203,INF251K01845,-,BARODA BNP PARIBAS Conservative Hybrid Fund-Regular Plan-Growth Option,42.4937,Unknown AMC
150204,INF251K01852,INF251K01860,BARODA BNP PARIBAS Conservative hybrid Fund-Regular Plan-Monthly IDCW Option,10.8708,Unknown AMC
150205,INF251K01878,INF251K01886,BARODA BNP PARIBAS Conservative Hybrid Fund-Regular Plan-Quarterly IDCW Option,11.0937,Unknown AMC
118309,INF760K01GB4,-,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,104.6109,Unknown AMC
118311,INF760K01FZ5,INF760K01GA6,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment),16.2084,Unknown AMC
118310,INF760K01GC2,INF760K01GD0,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment),16.2818,Unknown AMC
100601,INF760K01282,-,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,91.5733,Unknown AMC
100600,INF760K01308,INF760K01316,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),13.0352,Unknown AMC
112378,INF760K01AP7,INF760K01AQ5,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),13.7737,Unknown AMC
